Date,Close
12/1/2021 16:00:00,178.29
12/2/2021 16:00:00,183.16
12/3/2021 16:00:00,182.46
12/6/2021 16:00:00,184.59
12/7/2021 16:00:00,187.44
12/8/2021 16:00:00,182.48
12/9/2021 16:00:00,180.77
12/10/2021 16:00:00,182.35
12/13/2021 16:00:00,176.12
12/14/2021 16:00:00,180.78
12/15/2021 16:00:00,186.75
12/16/2021 16:00:00,187.34
12/17/2021 16:00:00,184.04
12/20/2021 16:00:00,181.95
12/21/2021 16:00:00,182.82
12/22/2021 16:00:00,181.36
12/23/2021 16:00:00,183.78
12/27/2021 16:00:00,185.9
12/28/2021 16:00:00,184.75
12/29/2021 16:00:00,183.68
12/30/2021 16:00:00,184.08
12/31/2021 16:00:00,185.3
1/3/2022 16:00:00,186.29
1/4/2022 16:00:00,199.19
1/5/2022 16:00:00,196.95
1/6/2022 16:00:00,199.75
1/7/2022 16:00:00,200.44
1/10/2022 16:00:00,200.35
1/11/2022 16:00:00,201.9
1/12/2022 16:00:00,206.61
1/13/2022 16:00:00,211.37
