Date,Close
12/1/2021 16:00:00,1095
12/2/2021 16:00:00,1084.6
12/3/2021 16:00:00,1014.97
12/6/2021 16:00:00,1009.01
12/7/2021 16:00:00,1051.75
12/8/2021 16:00:00,1068.96
12/9/2021 16:00:00,1003.8
12/10/2021 16:00:00,1017.03
12/13/2021 16:00:00,966.41
12/14/2021 16:00:00,958.51
12/15/2021 16:00:00,975.99
12/16/2021 16:00:00,926.92
12/17/2021 16:00:00,932.57
12/20/2021 16:00:00,899.94
12/21/2021 16:00:00,938.53
12/22/2021 16:00:00,1008.87
12/23/2021 16:00:00,1067
12/27/2021 16:00:00,1093.94
12/28/2021 16:00:00,1088.47
12/29/2021 16:00:00,1086.19
12/30/2021 16:00:00,1070.34
12/31/2021 16:00:00,1056.78
1/3/2022 16:00:00,1199.78
1/4/2022 16:00:00,1149.59
1/5/2022 16:00:00,1088.12
1/6/2022 16:00:00,1064.7
1/7/2022 16:00:00,1026.96
1/10/2022 16:00:00,1058.12
1/11/2022 16:00:00,1064.4
1/12/2022 16:00:00,1106.22
1/13/2022 16:00:00,1031.56
