Date,Close
12/1/2021 16:00:00,58.06
12/2/2021 16:00:00,61.02
12/3/2021 16:00:00,59.71
12/6/2021 16:00:00,59.84
12/7/2021 16:00:00,61.53
12/8/2021 16:00:00,60.78
12/9/2021 16:00:00,59.62
12/10/2021 16:00:00,63.21
12/13/2021 16:00:00,59.13
12/14/2021 16:00:00,58.4
12/15/2021 16:00:00,58.61
12/16/2021 16:00:00,58.39
12/17/2021 16:00:00,55.16
12/20/2021 16:00:00,54.04
12/21/2021 16:00:00,54.79
12/22/2021 16:00:00,56.08
12/23/2021 16:00:00,56.91
12/27/2021 16:00:00,57.43
12/28/2021 16:00:00,57.11
12/29/2021 16:00:00,57.23
12/30/2021 16:00:00,58.13
12/31/2021 16:00:00,58.63
1/3/2022 16:00:00,61.17
1/4/2022 16:00:00,65.74
1/5/2022 16:00:00,62.74
1/6/2022 16:00:00,62.87
1/7/2022 16:00:00,62.27
1/10/2022 16:00:00,61.07
1/11/2022 16:00:00,61.46
1/12/2022 16:00:00,61.03
1/13/2022 16:00:00,61.77
